gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
Gnai3 ENSMUSG00000000001 Gnai3 protein_coding 4484 5837 5237 5284 7183 4831 7271 6305 6602 4974 6082 6856 5231 7010 7059 7069 4950 6920 1841 1706 2041 2221
Cdc45 ENSMUSG00000000028 Cdc45 protein_coding 254 341 320 364 317 441 515 280 340 291 386 356 267 320 481 488 538 526 89 130 180 81
H19 ENSMUSG00000000031 H19 lincRNA 33 6 1 9 31 6 43 6 10 10 5 1 9 13 6 12 6 10 0 2 0 2
Scml2 ENSMUSG00000000037 Scml2 protein_coding 46 71 86 36 39 12 33 21 6 9 10 15 17 27 30 7 12 10 22 24 35 26
Apoh ENSMUSG00000000049 Apoh protein_coding 9 7 1 9 12 10 6 10 6 1 7 3 1 8 9 12 21 7 44 45 76 33
Narf ENSMUSG00000000056 Narf protein_coding 1077 1554 1620 1414 1371 994 1409 1508 1154 1056 1362 1263 1034 1694 1292 1425 897 1426 527 464 543 435
Cav2 ENSMUSG00000000058 Cav2 protein_coding 601 641 803 487 717 540 341 361 207 303 241 232 263 633 573 440 463 609 257 219 331 197
Klf6 ENSMUSG00000000078 Klf6 protein_coding 4728 6786 8193 5400 8143 6791 7657 9128 7862 6532 6721 7357 6987 8588 8271 6140 5653 8453 2440 3294 2922 2395
Scmh1 ENSMUSG00000000085 Scmh1 protein_coding 926 1193 1172 1171 1047 733 1163 959 814 873 764 996 846 1158 1045 1073 670 919 440 448 568 302
Cox5a ENSMUSG00000000088 Cox5a protein_coding 4593 5651 4621 4636 5647 12766 7880 5151 5606 5505 5015 6113 5063 7198 6678 5741 10811 10476 2585 1996 2711 2440
