,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Cyp2d10,Cyp2d10,protein_coding,604,424,326,593,152,128,221,197,155
Tppp3,Tppp3,protein_coding,1704,1017,1191,982,258,306,388,349,160
Rtn4r,Rtn4r,protein_coding,178,144,214,233,53,75,74,90,84
Traf1,Traf1,protein_coding,270,178,306,258,29,28,70,82,50
Adcy2,Adcy2,protein_coding,51,56,61,62,278,222,154,166,220
Akr1b7,Akr1b7,protein_coding,64,65,78,91,5,11,12,18,25
Pdzd7,Pdzd7,protein_coding,710,841,566,789,89,182,220,220,105
Mroh3,Mroh3,protein_coding,316,256,403,371,179,184,157,222,172
Apol10c.ps,Apol10c-ps,transcribed_unprocessed_pseudogene,53,94,101,150,517,565,454,372,501
Gmip,Gmip,protein_coding,695,514,705,730,369,329,376,386,410
Slc13a2os,Slc13a2os,antisense,482,350,467,447,265,219,287,294,252
Prkcd,Prkcd,protein_coding,7389,5927,7280,7165,3648,3911,4124,4609,3772
Clca1,Clca1,protein_coding,14209,7819,7760,11073,3280,4692,2577,4066,5669
Crip1,Crip1,protein_coding,8290,7970,10021,8577,3307,2710,4634,5477,3362
Rhoc,Rhoc,protein_coding,2772,2472,2890,2987,1133,939,1328,1758,1304
Fer1l4,Fer1l4,protein_coding,148,157,200,146,516,498,384,240,531
Dio1,Dio1,protein_coding,839,794,891,888,251,326,441,522,318
Gng2,Gng2,protein_coding,13,12,18,20,110,98,46,33,87
Cyp2d22,Cyp2d22,protein_coding,708,529,1002,729,116,131,327,351,188
Slc35e3,Slc35e3,protein_coding,414,217,445,499,88,61,112,167,82
Klb,Klb,protein_coding,95,63,47,105,8,15,5,19,2
Tbc1d24,Tbc1d24,protein_coding,313,253,294,437,82,105,162,130,65
Casp12,Casp12,protein_coding,42,65,61,94,177,264,168,187,242
Ifitm3,Ifitm3,protein_coding,346,460,383,624,1666,2054,924,1410,2024
Ypel3,Ypel3,protein_coding,1360,1145,1668,1901,248,424,683,827,477
Plet1os,Plet1os,antisense,42,21,79,37,196,174,137,134,166
Npas2,Npas2,protein_coding,797,661,815,1048,492,624,501,568,462
Fhl1,Fhl1,protein_coding,2419,1653,1267,1387,287,305,541,400,349
Rps27rt,Rps27rt,protein_coding,800,531,932,1133,1429,2903,2062,3776,1250
Mafb,Mafb,protein_coding,407,396,463,340,197,176,212,218,196
Mcub,Mcub,protein_coding,49,61,78,86,249,164,114,157,213
H2.K2,H2-K2,unprocessed_pseudogene,1068,897,1509,1233,269,459,553,708,474
Ddah1,Ddah1,protein_coding,1317,1455,1927,1814,3830,2706,2693,2607,3063
Plekhg6,Plekhg6,protein_coding,604,587,888,619,160,202,255,367,256
Itm2b,Itm2b,protein_coding,10846,10664,11878,13233,7727,7278,8211,9140,7312
Klk1,Klk1,protein_coding,14911,7120,10097,15362,3946,4082,5668,6096,4025
Cacnb1,Cacnb1,protein_coding,163,91,162,214,69,74,75,80,66
Stk10,Stk10,protein_coding,662,548,706,485,119,158,275,293,162
Slc28a3,Slc28a3,protein_coding,220,197,177,286,784,864,550,573,691
Rnf152,Rnf152,protein_coding,583,521,437,570,205,204,276,204,123
Fbln1,Fbln1,protein_coding,151,132,263,167,671,575,423,439,724
Fndc5,Fndc5,protein_coding,159,94,181,152,13,10,43,47,16
Art2a.ps,Art2a-ps,polymorphic_pseudogene,75,91,138,123,502,530,261,231,586
Entpd8,Entpd8,protein_coding,3343,3158,4144,3593,1550,1860,2238,2072,2088
Slc26a3,Slc26a3,protein_coding,11867,8923,9798,9427,4391,3336,5200,4880,2746
Ggh,Ggh,protein_coding,3429,2601,2285,3328,1104,916,1246,1617,944
Hsd17b14,Hsd17b14,protein_coding,148,100,153,165,41,37,73,72,45
Gsap,Gsap,protein_coding,38,64,90,57,216,315,196,157,319
Irf7,Irf7,protein_coding,2652,4002,5594,4804,1065,1375,1530,2156,2220
Rdh16f2,Rdh16f2,protein_coding,33,22,42,51,5,8,12,6,6
Eif4e3,Eif4e3,protein_coding,68,130,183,145,519,519,334,270,360
Tpm2,Tpm2,protein_coding,103,123,158,109,21,11,43,45,24
Gde1,Gde1,protein_coding,735,549,732,509,218,264,267,344,197
Ccdc114,Ccdc114,protein_coding,280,212,318,295,78,121,126,179,79
Kif27,Kif27,protein_coding,32,74,98,83,9,10,23,21,13
Selenop,Selenop,protein_coding,3131,3834,5066,3591,791,1218,1336,1940,1839
Pde11a,Pde11a,protein_coding,47,37,97,58,195,168,138,155,252
Cbarp,Cbarp,protein_coding,112,87,129,186,75,58,62,79,57
Naaladl1,Naaladl1,protein_coding,729,918,641,1115,270,312,453,501,245
Chd5,Chd5,protein_coding,68,22,62,49,8,15,8,14,5
Gnai3,Gnai3,protein_coding,3316,2811,3535,4442,5175,4454,4317,4146,4263
Il4ra,Il4ra,protein_coding,717,637,1091,1092,2451,2681,1368,1598,2249
Rin3,Rin3,protein_coding,142,86,173,160,64,61,73,42,48
Ckap4,Ckap4,protein_coding,950,766,979,1327,3771,2531,1706,1906,2324
X4930481A15Rik,4930481A15Rik,antisense,93,90,113,167,54,54,51,60,59
Mapk15,Mapk15,protein_coding,362,227,317,411,78,90,114,169,46
Syne4,Syne4,protein_coding,74,49,99,78,243,186,122,158,217
Fam161a,Fam161a,protein_coding,155,138,103,148,25,28,57,52,40
Gm44215,Gm44215,TEC,12,33,18,34,4,0,3,5,3
Gm15912,Gm15912,processed_transcript,212,155,188,190,64,78,132,71,65
Ehd4,Ehd4,protein_coding,1694,1473,1690,2136,2545,2272,2042,2185,2103
Lyn,Lyn,protein_coding,471,551,611,652,1269,1306,1119,1240,1110
Arhgef19,Arhgef19,protein_coding,1372,1181,1580,1712,560,596,801,1028,535
Pbld1,Pbld1,protein_coding,193,177,154,400,23,31,72,101,29
Cyp2s1,Cyp2s1,protein_coding,2159,2108,2584,2902,990,960,1529,1492,995
Dock11,Dock11,protein_coding,281,197,302,364,436,410,410,477,376
Ccr4,Ccr4,protein_coding,2,3,7,4,24,25,19,21,25
Shisa2,Shisa2,protein_coding,1420,942,1213,1709,671,676,798,1045,532
Serping1,Serping1,protein_coding,4,6,4,14,90,57,14,26,85
Tnfrsf1b,Tnfrsf1b,protein_coding,670,536,576,894,2840,2359,939,1381,1963
Slc25a34,Slc25a34,protein_coding,602,526,600,643,222,191,319,330,155
Pck1,Pck1,protein_coding,4739,2800,3162,6409,1241,1287,1986,2275,1208
Myl7,Myl7,protein_coding,34,64,123,117,211,306,193,176,244
Ckmt2,Ckmt2,protein_coding,54,46,49,63,8,7,17,19,12
Gm4779,Gm4779,protein_coding,14,25,3,4,0,0,0,0,0
Gas2l1,Gas2l1,protein_coding,1406,1073,1214,1527,1111,907,952,1028,844
Ppm1j,Ppm1j,protein_coding,857,618,962,891,263,244,409,543,429
Snrk,Snrk,protein_coding,1162,967,1331,1373,828,803,756,896,692
Abcg2,Abcg2,protein_coding,1287,1528,1861,1597,696,556,970,891,905
Chp2,Chp2,protein_coding,2719,2476,2207,2299,1030,921,1241,1300,736
Inpp5j,Inpp5j,protein_coding,3803,3069,4700,4501,1978,2357,2485,3103,1793
Tnni1,Tnni1,protein_coding,910,931,484,799,340,305,382,490,232
Rfxank,Rfxank,protein_coding,527,400,435,616,360,336,359,371,311
X5430427M07Rik,5430427M07Rik,antisense,82,48,34,74,5,4,18,16,13
Ceacam12,Ceacam12,protein_coding,85,55,154,78,232,241,318,233,245
Pcsk4,Pcsk4,protein_coding,354,223,328,280,119,114,170,188,122
Iyd,Iyd,protein_coding,106,117,176,121,12,13,33,62,34
St3gal3,St3gal3,protein_coding,1667,1284,1883,1581,729,738,833,914,562
Eps8l2,Eps8l2,protein_coding,3479,2713,4342,3133,1714,1686,2055,2412,1978
Nucb2,Nucb2,protein_coding,191,141,204,225,565,459,292,347,534
Fam189a2,Fam189a2,protein_coding,1057,784,1181,861,287,270,454,529,180
Hist1h1c,Hist1h1c,protein_coding,5201,3798,4385,4728,2032,1506,2608,1953,1541
Cyp2d9,Cyp2d9,protein_coding,394,410,561,543,92,142,245,183,292
Dnah2,Dnah2,protein_coding,90,47,101,99,27,24,49,23,19
Ssr3,Ssr3,protein_coding,4220,3345,4712,5201,7803,6288,5651,5607,6404
Ankrd24,Ankrd24,protein_coding,387,311,457,519,232,239,254,346,201
Kazald1,Kazald1,protein_coding,88,60,105,93,15,15,38,36,19
Cda,Cda,protein_coding,321,433,530,472,98,120,223,252,115
Atn1,Atn1,protein_coding,369,281,332,391,233,191,240,275,209
Sik1,Sik1,protein_coding,2463,1456,1860,2723,1014,1012,1235,1464,992
Tmem171,Tmem171,protein_coding,2686,1952,2557,3229,1371,1460,1870,1911,1302
Crlf2,Crlf2,protein_coding,102,130,129,177,337,254,228,198,308
Prss27,Prss27,protein_coding,13,17,22,21,147,126,72,41,143
Osbpl6,Osbpl6,protein_coding,528,286,342,611,198,180,219,237,123
Tmem184c,Tmem184c,protein_coding,50,40,90,99,290,234,152,119,232
Ctsl,Ctsl,protein_coding,1296,1301,1857,1700,789,686,825,1113,741
Ces2a,Ces2a,protein_coding,2491,4007,5517,4241,791,640,1561,1790,1424
Caskin2,Caskin2,protein_coding,3290,2431,3226,3460,1793,1847,1929,2660,1580
Cgn,Cgn,protein_coding,6955,5566,7798,8774,5425,5358,5470,6096,4817
Tnfaip8l3,Tnfaip8l3,protein_coding,7,12,34,24,75,101,57,70,147
Cry2,Cry2,protein_coding,557,598,624,540,231,226,359,297,201
Igfbp4,Igfbp4,protein_coding,35,25,54,28,143,82,84,72,127
Gsdmc4,Gsdmc4,protein_coding,8802,7099,6478,12557,4022,5337,3680,5909,4102
Adra2a,Adra2a,protein_coding,915,925,957,1078,222,290,542,561,261
Gata3,Gata3,protein_coding,0,3,3,5,67,45,11,10,84
Inafm1,Inafm1,protein_coding,990,850,934,1304,757,641,768,783,578
Gm12056,Gm12056,lincRNA,35,26,27,36,7,2,12,7,7
Fdxr,Fdxr,protein_coding,362,372,437,486,289,272,299,318,219
Crip2,Crip2,protein_coding,93,80,82,101,54,33,45,40,23
Ppfibp1,Ppfibp1,protein_coding,641,447,637,669,1107,919,808,761,853
Guca2a,Guca2a,protein_coding,15405,18850,24640,17996,2340,3327,6348,7926,3888
