gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Enterocytes_4	Enterocytes_3	Proliferating epithelial cells	Enterocytes_2	Enterocytes_1_1	Enterocytes_1_0	TA	Enteroendocrine	Goblet	Tuft	Endothelial cells 1	Smooth muscle cells	Stromal cells 1.2	Endothelial cells 2	Stromal cells 1.1	Lymphatic endothelial cells	Oligodendrocytes	Proliferating cells	Mesothelial cells	Stromal cells 2	Inflammatory Monocytes	DCs	Bcells	Neutrophils	Cd4	Ilc3	Tregs	Cd8	Ilc1	Cd8 effector	Proliferating	gd-tcells	Ilc2	NK cells	Plasma cells
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.038	0.111	0.14	0.215	0.15	0.186	0.108	0.108	0.161	0.059	0.168	0.013	0.031	0.003	0.0	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.016	0.02	0.023	0.022	0.0	0.014	0.04	0.0	0.015	0.0	0.045	0.034	0.01	0.033	0.028	0.057	0.05	0.053	0.113	0.033	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.077	0.064	0.07	0.04	0.027	0.016	0.048	0.0	0.079	0.168	0.111	0.227	0.215	0.15	0.277	0.142	0.301	0.161	0.128	0.327	0.013	0.031	0.003	0.011	0.004	0.0	0.0	0.001	0.024	0.006	0.0	0.0	0.01	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS05EAF93CC	0.222	0.153	0.151	0.051	0.053	0.061	0.205	0.177	0.227	0.038	0.012	0.346	0.483	0.008	0.503	0.003	0.5	0.085	0.613	0.579	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.003	0.0	0.022	0.025	0.0	0.045	0.0	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS046BCFC6F	0.222	0.153	0.151	0.051	0.053	0.061	0.205	0.177	0.227	0.038	0.012	0.346	0.483	0.008	0.503	0.003	0.5	0.085	0.613	0.579	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.003	0.0	0.022	0.025	0.0	0.045	0.0	0.024
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	0.222	0.153	0.151	0.051	0.053	0.061	0.205	0.177	0.227	0.038	0.012	0.346	0.483	0.008	0.503	0.003	0.5	0.085	0.613	0.579	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.003	0.0	0.022	0.025	0.0	0.045	0.0	0.024
